day,well,type,n,sample,cells_per_ml
2,H08,algae,90,92,3600
2,H08,background,860,92,34400
2,H09,algae,614,93,24560
2,H09,background,973,93,38920
2,H10,algae,121,94,4840
2,H10,background,256,94,10240
2,H11,algae,497,95,19880
2,H11,background,608,95,24320
2,H12,algae,330,96,13200
2,H12,background,488,96,19520
7,A01,algae,930,1,37200
7,A01,background,16039,1,641560
7,A02,algae,1203,2,48120
7,A02,background,41799,2,1671960
7,A03,algae,411,3,16440
7,A03,background,1057,3,42280
7,A04,algae,162,4,6480
7,A04,background,350,4,14e3
7,A05,algae,41,5,1640
7,A05,background,55,5,2200
7,A06,algae,140,6,5600
7,A06,background,260,6,10400
7,A07,algae,572,7,22880
7,A07,background,15348,7,613920
7,A08,algae,178,8,7120
7,A08,background,227,8,9080
7,A09,algae,357,9,14280
7,A09,background,821,9,32840
7,A10,algae,1304,10,52160
7,A10,background,2740,10,109600
7,A11,algae,500,11,2e4
7,A11,background,20062,11,802480
7,A12,algae,45,12,1800
7,A12,background,2285,12,91400
7,B01,algae,444,13,17760
7,B01,background,29650,13,1186e3
7,B02,algae,980,14,39200
7,B02,background,2816,14,112640
7,B03,algae,113,15,4520
7,B03,background,225,15,9e3
7,B04,algae,81,16,3240
7,B04,background,50,16,2e3
7,B05,algae,1102,17,44080
7,B05,background,12060,17,482400
7,B06,algae,92,18,3680
7,B06,background,31,18,1240
7,B07,algae,1116,19,44640
7,B07,background,888,19,35520
7,B08,algae,194,20,7760
7,B08,background,297,20,11880
7,B09,algae,380,21,15200
7,B09,background,836,21,33440
7,B10,algae,32,22,1280
7,B10,background,26,22,1040
7,B11,algae,1089,23,43560
7,B11,background,2218,23,88720
7,B12,algae,135,24,5400
7,B12,background,113,24,4520
7,C01,algae,252,25,10080
7,C01,background,333,25,13320
7,C02,algae,129,26,5160
7,C02,background,197,26,7880
7,C03,algae,248,27,9920
7,C03,background,3419,27,136760
7,C04,algae,553,28,22120
7,C04,background,13212,28,528480
7,C05,algae,203,29,8120
7,C05,background,881,29,35240
7,C06,algae,61,30,2440
7,C06,background,82,30,3280
7,C07,algae,337,31,13480
7,C07,background,443,31,17720
7,C08,algae,393,32,15720
7,C08,background,850,32,34e3
7,C09,algae,104,33,4160
7,C09,background,182,33,7280
7,C10,algae,252,34,10080
7,C10,background,293,34,11720
7,C11,algae,231,35,9240
7,C11,background,436,35,17440
7,C12,algae,1123,36,44920
7,C12,background,491,36,19640
7,D01,algae,1120,37,44800
7,D01,background,13066,37,522640
7,D02,algae,81,38,3240
7,D02,background,83,38,3320
7,D03,algae,910,39,36400
7,D03,background,5324,39,212960
7,D04,algae,283,40,11320
7,D04,background,12208,40,488320
7,D05,algae,862,41,34480
7,D05,background,15891,41,635640
7,D06,algae,1028,42,41120
7,D06,background,4665,42,186600
7,D07,algae,147,43,5880
7,D07,background,3160,43,126400
7,D08,algae,403,44,16120
7,D08,background,645,44,25800
7,D09,algae,116,45,4640
7,D09,background,130,45,5200
7,D10,algae,1179,46,47160
7,D10,background,4457,46,178280
7,D11,algae,521,47,20840
7,D11,background,620,47,24800
7,D12,algae,303,48,12120
7,D12,background,6721,48,268840
7,E01,algae,664,49,26560
7,E01,background,8147,49,325880
7,E02,algae,1181,50,47240
7,E02,background,1225,50,49e3
7,E03,algae,469,51,18760
7,E03,background,1635,51,65400
7,E04,algae,87,52,3480
7,E04,background,113,52,4520
7,E05,algae,1103,53,44120
7,E05,background,2192,53,87680
7,E06,algae,269,54,10760
7,E06,background,13252,54,530080
7,E07,algae,952,55,38080
7,E07,background,669,55,26760
7,E08,algae,138,56,5520
7,E08,background,2554,56,102160
7,E09,algae,518,57,20720
7,E09,background,2728,57,109120
7,E10,algae,371,58,14840
7,E10,background,2782,58,111280
7,E11,algae,23,59,920
7,E11,background,1887,59,75480
7,E12,algae,58,60,2320
7,E12,background,155,60,6200
7,F01,algae,771,61,30840
7,F01,background,804,61,32160
7,F02,algae,988,62,39520
7,F02,background,1093,62,43720
7,F03,algae,53,63,2120
7,F03,background,3583,63,143320
7,F04,algae,257,64,10280
7,F04,background,2758,64,110320
7,F05,algae,103,65,4120
7,F05,background,172,65,6880
7,F06,algae,457,66,18280
7,F06,background,645,66,25800
7,F07,algae,103,67,4120
7,F07,background,254,67,10160
7,F08,algae,908,68,36320
7,F08,background,1891,68,75640
7,F09,algae,607,69,24280
7,F09,background,5293,69,211720
7,F10,algae,546,70,21840
