day,well,type,n,sample,nutrients,dreissena,tea,lagerheimia,synechococcus,phyto,replicate,day_0_chlA,day_0_phycocyanin,day_1_chlA,day_1_phycocyanin,day_2_chlA,day_2_phycocyanin,day_7_chlA,day_7_phycocyanin,Dreissena_length,cells_per_ml
0,F12,background,1005,72,0,1,0,1,1,SL,4,26,76,27,111,38,194,16,5,14.73,40200
0,G01,algae,20,73,1,0,0,0,1,S,2,23,253,36,287,44,315,19,55,NA,800
0,G01,background,247,73,1,0,0,0,1,S,2,23,253,36,287,44,315,19,55,NA,9880
0,G02,algae,530,74,0,1,1,1,0,L,1,36,4,23,4,15,3,51,6,14.03,21200
0,G02,background,408,74,0,1,1,1,0,L,1,36,4,23,4,15,3,51,6,14.03,16320
0,G03,algae,474,75,0,0,1,1,0,L,1,37,6,25,4,30,4,25,5,NA,18960
0,G03,background,322,75,0,0,1,1,0,L,1,37,6,25,4,30,4,25,5,NA,12880
0,G04,algae,623,76,1,0,1,1,0,L,3,45,5,33,4,33,5,37,3,NA,24920
0,G04,background,619,76,1,0,1,1,0,L,3,45,5,33,4,33,5,37,3,NA,24760
0,G05,algae,84,77,1,1,0,0,1,S,1,24,257,39,308,50,332,98,13,13.7,3360
0,G05,background,505,77,1,1,0,0,1,S,1,24,257,39,308,50,332,98,13,13.7,20200
0,G06,algae,471,78,1,1,0,1,0,L,1,43,5,24,4,33,3,12,2,14.39,18840
0,G06,background,681,78,1,1,0,1,0,L,1,43,5,24,4,33,3,12,2,14.39,27240
0,G07,algae,478,79,0,0,0,1,1,SL,3,25,76,31,115,36,89,24,20,NA,19120
0,G07,background,1143,79,0,0,0,1,1,SL,3,25,76,31,115,36,89,24,20,NA,45720
0,G08,algae,684,80,0,1,0,1,0,L,1,35,NA,27,5,28,4,35,4,15.54,27360
0,G08,background,897,80,0,1,0,1,0,L,1,35,NA,27,5,28,4,35,4,15.54,35880
0,G09,algae,834,81,1,0,1,1,0,L,4,40,NA,40,5,48,7,43,5,NA,33360
0,G09,background,1516,81,1,0,1,1,0,L,4,40,NA,40,5,48,7,43,5,NA,60640
0,G10,algae,340,82,1,1,1,1,1,SL,1,22,NA,20,45,21,49,47,7,17.68,13600
0,G10,background,1457,82,1,1,1,1,1,SL,1,22,NA,20,45,21,49,47,7,17.68,58280
0,G11,algae,184,83,1,1,0,0,1,S,4,16,NA,18,92,17,80,27,6,15.7,7360
0,G11,background,1445,83,1,1,0,0,1,S,4,16,NA,18,92,17,80,27,6,15.7,57800
0,G12,algae,396,84,0,1,1,1,0,L,4,31,6,16,3,16,3,15,5,13.15,15840
0,G12,background,361,84,0,1,1,1,0,L,4,31,6,16,3,16,3,15,5,13.15,14440
0,H01,algae,455,85,0,0,0,1,0,L,3,34,5,37,6,34,4,29,4,NA,18200
0,H01,background,520,85,0,0,0,1,0,L,3,34,5,37,6,34,4,29,4,NA,20800
0,H02,algae,385,86,0,1,0,1,1,SL,3,26,75,24,91,27,114,12,5,13.8,15400
0,H02,background,969,86,0,1,0,1,1,SL,3,26,75,24,91,27,114,12,5,13.8,38760
0,H03,algae,629,87,0,0,0,1,0,L,4,36,5,34,5,31,5,27,5,NA,25160
0,H03,background,560,87,0,0,0,1,0,L,4,36,5,34,5,31,5,27,5,NA,22400
0,H04,algae,241,88,0,0,1,0,1,S,2,15,165,24,147,18,52,9,24,NA,9640
0,H04,background,995,88,0,0,1,0,1,S,2,15,165,24,147,18,52,9,24,NA,39800
0,H05,algae,524,89,1,1,0,1,0,L,4,40,5,30,5,18,3,107,10,12.79,20960
0,H05,background,692,89,1,1,0,1,0,L,4,40,5,30,5,18,3,107,10,12.79,27680
0,H06,algae,408,90,1,1,0,0,1,S,2,21,238,21,176,33,224,19,6,11.64,16320
0,H06,background,1380,90,1,1,0,0,1,S,2,21,238,21,176,33,224,19,6,11.64,55200
0,H07,algae,498,91,1,0,0,1,1,SL,4,33,128,37,140,53,208,32,70,NA,19920
0,H07,background,986,91,1,0,0,1,1,SL,4,33,128,37,140,53,208,32,70,NA,39440
0,H08,algae,178,92,1,1,1,0,1,S,2,25,255,36,284,51,363,27,12,14.68,7120
0,H08,background,1471,92,1,1,1,0,1,S,2,25,255,36,284,51,363,27,12,14.68,58840
0,H09,algae,619,93,1,0,0,1,1,SL,3,34,NA,39,143,56,224,38,70,NA,24760
0,H09,background,2665,93,1,0,0,1,1,SL,3,34,NA,39,143,56,224,38,70,NA,106600
0,H10,algae,349,94,0,1,1,1,1,SL,4,27,NA,26,103,33,133,20,6,14.18,13960
0,H10,background,1778,94,0,1,1,1,1,SL,4,27,NA,26,103,33,133,20,6,14.18,71120
0,H11,algae,603,95,1,0,1,1,1,SL,1,33,NA,43,169,59,257,40,59,NA,24120
0,H11,background,1846,95,1,0,1,1,1,SL,1,33,NA,43,169,59,257,40,59,NA,73840
0,H12,algae,312,96,0,1,1,1,1,SL,1,26,NA,36,139,48,170,14,7,11.29,12480
0,H12,background,726,96,0,1,1,1,1,SL,1,26,NA,36,139,48,170,14,7,11.29,29040
1,A01,algae,732,1,0,0,0,1,1,SL,2,24,77,36,116,38,93,27,21,NA,29280
1,A01,background,1663,1,0,0,0,1,1,SL,2,24,77,36,116,38,93,27,21,NA,66520
1,A02,algae,671,2,1,0,0,1,1,SL,1,34,128,43,147,36,191,34,72,NA,26840
1,A02,background,876,2,1,0,0,1,1,SL,1,34,128,43,147,36,191,34,72,NA,35040
